-0.34717-0.88074i,-0.29341-0.94222i,-0.21329-0.98615i,-0.12806-1.0169i,-0.046069-1.0246i,0.019337-1.0318i,0.08438-1.0523i,0.13713-1.0796i,0.15769-1.1295i,0.16652-1.1908i,0.12857-1.2517i,0.039878-1.2465i,0.016766-1.1932i,0.019808-1.1179i,0.04213-1.0326i,0.072836-0.94366i,0.10693-0.84288i,0.13193-0.75211i,0.16244-0.67607i,0.18702-0.59988i,0.1945-0.53533i,0.21275-0.47361i,0.20878-0.42022i,0.21044-0.34117i,0.20113-0.17593i,0.18791-0.080019i,0.13515+0.15817i,0.11138+0.31345i,0.09539+0.46554i,0.10585+0.60171i,0.12663+0.72976i,0.14249+0.83597i,0.17675+0.93409i,0.1961+1.017i,0.22502+1.1215i,0.26246+1.2104i,0.30323+1.3098i,0.39112+1.4909i,0.44113+1.5605i,0.49903+1.5927i,0.56897+1.5969i,0.62806+1.5656i,0.67828+1.4882i,0.71979+1.3945i,0.72752+1.2926i,0.7411+1.2102i,0.74596+1.1104i,0.73356+1.0201i,0.69269+0.90623i,0.60671+0.78718i,0.3324+0.59365i,0.18629+0.50691i
-0.54239-0.21534i,-0.4787-0.29519i,-0.42873-0.40407i,-0.39622-0.51359i,-0.36943-0.61196i,-0.34873-0.68702i,-0.34366-0.75143i,-0.35354-0.80718i,-0.38968-0.83756i,-0.45571-0.845i,-0.53028-0.80094i,-0.61793-0.62758i,-0.61522-0.51365i,-0.57802-0.39724i,-0.50752-0.28463i,-0.40568-0.18303i,-0.27437-0.10651i,-0.13428-0.05423i,-0.008968-0.036478i,0.0967-0.0466i,0.1707-0.062687i,0.21075-0.087137i,0.23109-0.091474i,0.25152-0.096706i,0.28283-0.089274i,0.29659-0.08346i,0.32247-0.061001i,0.34043-0.05136i,0.35163-0.038397i,0.34862-0.029813i,0.34409-0.022501i,0.33903-0.0084083i,0.33604-0.0087723i,0.33879-0.010655i,0.35222-0.040654i,0.34797-0.086002i,0.33329-0.14304i,0.25432-0.23295i,0.20253-0.25371i,0.14376-0.25946i,0.086833-0.26459i,0.033619-0.26301i,-0.02414-0.25682i,-0.073031-0.25495i,-0.10294-0.24751i,-0.11323-0.26411i,-0.12476-0.28764i,-0.12861-0.31818i,-0.14326-0.33492i,-0.15375-0.32912i,-0.12493-0.29129i,-0.10607-0.29207i
0.55155+0.99341i,0.45462+1.0209i,0.33298+1.0265i,0.22296+1.0182i,0.13894+0.97337i,0.08993+0.90543i,0.034227+0.82358i,-0.038185+0.72382i,-0.11786+0.64426i,-0.23256+0.59608i,-0.32358+0.58349i,-0.51099+0.54138i,-0.59943+0.52141i,-0.68011+0.50251i,-0.73841+0.48441i,-0.76319+0.4583i,-0.76004+0.40022i,-0.72942+0.3309i,-0.70791+0.26068i,-0.69283+0.181i,-0.67013+0.12105i,-0.66744+0.080733i,-0.62962+0.068384i,-0.58325+0.037356i,-0.40764-0.019348i,-0.27656-0.068176i,0.070051-0.2554i,0.25314-0.42077i,0.42375-0.60384i,0.5475-0.78598i,0.637-0.97308i,0.7088-1.1403i,0.73249-1.2968i,0.7539-1.4275i,0.74393-1.5713i,0.71265-1.6733i,0.67589-1.7631i,0.63942-1.86i,0.64792-1.8789i,0.66296-1.8699i,0.66423-1.8551i,0.66667-1.8269i,0.6583-1.766i,0.63429-1.7027i,0.62698-1.6417i,0.58451-1.611i,0.52743-1.5557i,0.46754-1.5011i,0.42661-1.396i,0.43436-1.2619i,0.57333-1.0069i,0.64543-0.88606i
0.039254-0.38503i,0.0043674-0.28643i,0.038149-0.14953i,0.091453-0.04091i,0.11379+0.051357i,0.067214+0.10301i,0.012121+0.14025i,-0.037874+0.20498i,-0.076069+0.24401i,-0.038506+0.25441i,-0.028622+0.2027i,-0.0035782+0.17332i,0.016272+0.17906i,0.053967+0.18958i,0.09438+0.18424i,0.11318+0.15851i,0.098929+0.15065i,0.046243+0.12738i,0.013846+0.098559i,-0.01161+0.093481i,-0.045173+0.065577i,-0.03523+0.035967i,-0.074795-0.024995i,-0.12316-0.013787i,-0.24094+0.077024i,-0.28291+0.1606i,-0.34832+0.3474i,-0.37168+0.47496i,-0.38361+0.57801i,-0.34139+0.65104i,-0.28954+0.71775i,-0.26156+0.74532i,-0.21223+0.78291i,-0.21607+0.80483i,-0.22173+0.91059i,-0.20163+1.0037i,-0.17245+1.1265i,-0.11592+1.2982i,-0.11234+1.3431i,-0.11191+1.3478i,-0.09195+1.3643i,-0.079996+1.3696i,-0.052646+1.3268i,-0.026956+1.287i,-0.077567+1.2482i,-0.12627+1.2966i,-0.17553+1.3402i,-0.23184+1.429i,-0.28546+1.457i,-0.38197+1.4388i,-0.69441+1.4303i,-0.80347+1.4713i
-1.5331+0.025583i,-1.5594-0.010577i,-1.5547-0.050075i,-1.5458-0.11181i,-1.5533-0.1865i,-1.5891-0.26947i,-1.6302-0.35187i,-1.6617-0.42285i,-1.681-0.49785i,-1.6725-0.58148i,-1.6658-0.67011i,-1.6056-0.77609i,-1.538-0.79674i,-1.4379-0.81007i,-1.3161-0.83155i,-1.1902-0.86721i,-1.0721-0.90594i,-0.97228-0.94915i,-0.87728-0.99073i,-0.78669-1.0159i,-0.70491-1.0297i,-0.61466-1.025i,-0.53558-0.99777i,-0.44288-0.92383i,-0.19436-0.69809i,-0.028119-0.57297i,0.34379-0.3717i,0.52889-0.29989i,0.69849-0.25929i,0.85426-0.25122i,0.97832-0.26013i,1.0533-0.28087i,1.0923-0.28915i,1.0821-0.27193i,1.0561-0.20063i,1.0306-0.10448i,1.0154+0.014979i,0.99829+0.21972i,0.97453+0.28355i,0.9301+0.3138i,0.86618+0.32587i,0.76813+0.32402i,0.63634+0.31025i,0.47267+0.31401i,0.27011+0.35353i,0.072473+0.44948i,-0.1082+0.56963i,-0.26081+0.70554i,-0.3951+0.80691i,-0.53753+0.86682i,-0.88585+0.92161i,-1.0571+0.94326i
0.594-0.4619i,0.61473-0.38338i,0.68403-0.2721i,0.75453-0.19603i,0.77348-0.1598i,0.71515-0.1447i,0.62035-0.11915i,0.53536-0.06621i,0.48819-0.019143i,0.49638-0.004057i,0.50751-0.030595i,0.5027-0.069067i,0.49003-0.051108i,0.48716-0.015073i,0.48892+0.016657i,0.47906+0.031889i,0.44937+0.042133i,0.40119+0.045267i,0.36591+0.042638i,0.35239+0.035273i,0.35144-5.9238e-05i,0.36247-0.061431i,0.34067-0.13928i,0.29651-0.18662i,0.16763-0.194i,0.1055-0.16969i,-0.044513-0.12524i,-0.13671-0.086805i,-0.22594-0.038345i,-0.28185+0.015205i,-0.30689+0.072176i,-0.31777+0.11549i,-0.31368+0.15704i,-0.32736+0.2026i,-0.34005+0.28531i,-0.34399+0.37374i,-0.34169+0.46806i,-0.36937+0.60002i,-0.41349+0.65316i,-0.4552+0.71056i,-0.46022+0.78285i,-0.42453+0.84743i,-0.35525+0.87296i,-0.28434+0.8717i,-0.26069+0.8645i,-0.26613+0.89605i,-0.29455+0.95074i,-0.33091+1.0285i,-0.37922+1.0727i,-0.46707+1.0761i,-0.75415+1.0827i,-0.84156+1.1387i
1.1673+0.85537i,1.0529+0.78323i,0.89881+0.73476i,0.75222+0.69279i,0.6266+0.62826i,0.51829+0.52985i,0.40836+0.41312i,0.2896+0.29694i,0.17543+0.19855i,0.069825+0.12491i,-0.019425+0.05892i,-0.22213-0.061015i,-0.33636-0.096483i,-0.43852-0.10662i,-0.50433-0.10234i,-0.52139-0.10642i,-0.49878-0.14075i,-0.4486-0.21033i,-0.39165-0.3023i,-0.33962-0.40751i,-0.28951-0.51439i,-0.24854-0.61351i,-0.21076-0.71014i,-0.19136-0.80146i,-0.16687-0.94389i,-0.14215-1.0006i,-0.053538-1.1404i,-0.01849-1.2302i,-0.0016299-1.3123i,-0.0049772-1.3608i,-0.017498-1.3698i,-0.020437-1.3408i,-0.014497-1.2815i,0.0085609-1.2098i,0.033011-1.1342i,0.069303-1.0509i,0.1171-0.97216i,0.25775-0.85692i,0.3306-0.8264i,0.3908-0.79663i,0.43197-0.75166i,0.46773-0.68539i,0.51001-0.60049i,0.55202-0.51844i,0.58499-0.46006i,0.5798-0.42102i,0.54463-0.38419i,0.48882-0.34304i,0.44516-0.29211i,0.42659-0.24989i,0.4099-0.21347i,0.37861-0.16595i
0.34663+1.2253i,0.42264+1.3086i,0.47278+1.39i,0.51846+1.4597i,0.55922+1.5016i,0.60836+1.508i,0.65305+1.499i,0.67983+1.4776i,0.70896+1.4532i,0.73627+1.4476i,0.78321+1.4264i,0.81375+1.3311i,0.78643+1.2651i,0.72614+1.2028i,0.64491+1.1514i,0.55622+1.1098i,0.45975+1.0714i,0.37684+1.0344i,0.30294+1.0128i,0.23005+0.99522i,0.17463+0.97994i,0.12313+0.98318i,0.095967+0.97678i,0.054995+0.96342i,-0.0087749+0.92115i,-0.032923+0.89029i,-0.056141+0.77579i,-0.079412+0.68218i,-0.10867+0.57558i,-0.15422+0.4827i,-0.22045+0.40021i,-0.28628+0.33216i,-0.36238+0.2943i,-0.4215+0.26083i,-0.49718+0.23021i,-0.55923+0.21187i,-0.62533+0.18807i,-0.73819+0.12529i,-0.79166+0.087293i,-0.84221+0.061794i,-0.90644+0.060641i,-0.96618+0.083156i,-1.0012+0.14241i,-1.0192+0.22115i,-1.0084+0.28279i,-1.0101+0.33374i,-0.99944+0.37541i,-0.99922+0.39907i,-0.97455+0.4217i,-0.92088+0.42729i,-0.76626+0.35788i,-0.69339+0.30734i
0.46397+0.80855i,0.34021+0.80596i,0.21214+0.81973i,0.094228+0.84089i,-0.012912+0.86016i,-0.1024+0.87689i,-0.1739+0.90144i,-0.22281+0.93184i,-0.23307+0.9625i,-0.20632+0.98789i,-0.14028+0.98258i,0.011674+0.85881i,0.073598+0.75096i,0.11753+0.62705i,0.14633+0.49546i,0.16419+0.36072i,0.17073+0.22476i,0.17549+0.091889i,0.17848-0.030096i,0.17804-0.14593i,0.17952-0.25642i,0.17281-0.35374i,0.16368-0.44252i,0.13729-0.51412i,0.086208-0.57491i,0.081127-0.56596i,0.14337-0.51948i,0.19817-0.50232i,0.26328-0.49102i,0.32924-0.47755i,0.38945-0.46469i,0.44743-0.44986i,0.49401-0.42457i,0.53913-0.3944i,0.5704-0.35768i,0.60236-0.30918i,0.62951-0.25898i,0.67202-0.15963i,0.6781-0.10576i,0.67568-0.035025i,0.66527+0.059325i,0.66344+0.17422i,0.68352+0.30658i,0.72288+0.43869i,0.78248+0.54821i,0.83895+0.63197i,0.89594+0.68919i,0.93794+0.71405i,0.96948+0.71437i,0.98228+0.68882i,0.91474+0.60053i,0.83751+0.57742i
-1.6129-0.37556i,-1.4723-0.2999i,-1.2694-0.27231i,-1.0769-0.29257i,-0.92325-0.32258i,-0.83846-0.33744i,-0.78804-0.34628i,-0.74037-0.33706i,-0.71262-0.32685i,-0.681-0.34531i,-0.68806-0.34995i,-0.63333-0.27844i,-0.56545-0.22069i,-0.47018-0.16978i,-0.36817-0.13301i,-0.27695-0.10437i,-0.188-0.067664i,-0.12333-0.030928i,-0.063201-0.019663i,-0.0015193-0.017699i,0.030743-0.029045i,0.057796-0.065858i,0.038229-0.085444i,0.039709-0.070634i,0.057298+0.011228i,0.087997+0.058147i,0.15559+0.13502i,0.20208+0.16703i,0.23406+0.17299i,0.25832+0.12695i,0.26553+0.057588i,0.22172-0.02448i,0.15944-0.11592i,0.042558-0.17646i,-0.060336-0.18855i,-0.17932-0.18725i,-0.28891-0.14631i,-0.51783+0.017981i,-0.61926+0.13866i,-0.70004+0.25564i,-0.72725+0.35511i,-0.72933+0.42737i,-0.73299+0.44251i,-0.73519+0.42853i,-0.77106+0.43258i,-0.77764+0.45699i,-0.79736+0.48421i,-0.80313+0.53732i,-0.83866+0.57938i,-0.9062+0.63531i,-1.0303+0.81536i,-1.0313+0.87714i
0.35479-0.34602i,0.4318-0.31337i,0.54545-0.25104i,0.66196-0.21894i,0.72827-0.22362i,0.73851-0.27673i,0.7232-0.33384i,0.68728-0.37777i,0.66631-0.43638i,0.68745-0.48285i,0.72088-0.56753i,0.7625-0.65336i,0.79199-0.65323i,0.83401-0.62995i,0.88139-0.60337i,0.91795-0.58458i,0.92252-0.55825i,0.91775-0.54054i,0.93477-0.50716i,0.96037-0.46191i,1.0075-0.43613i,1.0839-0.39493i,1.1636-0.38524i,1.2209-0.34097i,1.345-0.23295i,1.4057-0.1784i,1.4687-0.1231i,1.4416-0.10189i,1.399-0.092362i,1.3643-0.070767i,1.3125-0.039535i,1.2493-0.016181i,1.181+0.050689i,1.1012+0.12029i,0.99689+0.24875i,0.92314+0.39157i,0.84167+0.54186i,0.64694+0.77142i,0.51227+0.85797i,0.37739+0.94126i,0.24741+1.0558i,0.13548+1.1761i,0.076395+1.2941i,0.043718+1.4222i,0.011182+1.5236i,-0.025886+1.6593i,-0.034289+1.77i,-0.060422+1.8528i,-0.081615+1.8578i,-0.14657+1.7779i,-0.46061+1.5036i,-0.62232+1.3778i
-1.3552-0.10754i,-1.3397-0.02493i,-1.2307+0.024983i,-1.1036+0.030134i,-0.99177+0.027621i,-0.93154+0.030884i,-0.88064+0.026365i,-0.81405+0.027408i,-0.75849+0.0022569i,-0.68739-0.078603i,-0.67004-0.17658i,-0.6083-0.31539i,-0.55941-0.36618i,-0.49483-0.41763i,-0.43471-0.47291i,-0.39589-0.52085i,-0.3664-0.53521i,-0.36549-0.53127i,-0.36056-0.53471i,-0.34857-0.52466i,-0.36295-0.5141i,-0.36619-0.51025i,-0.41246-0.47738i,-0.42002-0.38171i,-0.35307-0.10885i,-0.26145+0.035208i,-0.035162+0.27853i,0.090777+0.38634i,0.1928+0.46128i,0.28322+0.48602i,0.34824+0.50364i,0.35869+0.52422i,0.37167+0.55934i,0.35087+0.63349i,0.38246+0.76694i,0.43989+0.88705i,0.5337+1.0133i,0.7147+1.1926i,0.77822+1.2494i,0.81932+1.2665i,0.86876+1.255i,0.89275+1.2151i,0.87712+1.1214i,0.83347+1.0186i,0.72476+0.95368i,0.63853+0.9427i,0.53596+0.9463i,0.44276+0.99793i,0.3182+1.0439i,0.15477+1.1167i,-0.15389+1.3963i,-0.21648+1.5262i
