0.12485-1.2485i,0.3422-1.1012i,0.48985-0.92694i,0.57529-0.75646i,0.61826-0.60819i,0.64036-0.48565i,0.65672-0.38163i,0.67318-0.28544i,0.68873-0.18854i,0.69943-0.086005i,0.70058+0.02473i,0.68613+0.14502i,0.64742+0.27348i,0.57435+0.40265i,0.46038+0.51682i,0.30912+0.59471i,0.13817+0.61731i,-0.023737+0.57776i,-0.14644+0.48764i,-0.21094+0.37518i,-0.21829+0.27519i,-0.18996+0.21507i,-0.159+0.20372i,-0.15636+0.22863i,-0.19873+0.2621i,-0.28345+0.27295i,-0.39125+0.23784i,-0.49442+0.14785i,-0.56553+0.0089552i,-0.58369-0.16141i,-0.53754-0.33883i,-0.42653-0.49579i,-0.26188-0.6055i,-0.066835-0.64685i,0.12571-0.61079i,0.27992-0.50585i,0.36755-0.35913i,0.37852-0.2102i,0.32637-0.098653i,0.24483-0.049812i,0.17586-0.064974i,0.15379-0.12099i,0.19246-0.17962i,0.28076-0.20261i,0.38791-0.16585i,0.47564-0.067329i,0.51167+0.073572i,0.47966+0.22353i,0.38318+0.34595i,0.24402+0.41116i,0.096364+0.40418i,-0.021628+0.32907i,-0.077542+0.20938i,-0.054482+0.083767i,0.04172-0.0034584i,0.18115-0.015751i,0.31669+0.062435i,0.3985+0.21802i,0.39133+0.41176i,0.28763+0.5912i,0.11005+0.70941i,-0.098088+0.74148i,-0.29037+0.69125i,-0.43453+0.58566i,-0.52158+0.46018i,-0.56341+0.34301i,-0.58164+0.2457i,-0.59464+0.16371i,-0.60958+0.084502i,-0.62241-0.0027722i,-0.62356-0.10153i,-0.60445-0.20802i,-0.56049-0.31517i,-0.49004-0.41587i,-0.39202-0.50274i,-0.26609-0.56558i,-0.11659-0.58987i,0.042171-0.56007i,0.18413-0.46772i,0.27672-0.32047i,0.29262-0.14588i,0.2228+0.013828i,0.083716+0.11544i,-0.085893+0.13081i,-0.2381+0.057612i,-0.33273-0.080585i,-0.35024-0.24461i,-0.2951-0.39501i,-0.1891-0.50493i,-0.059494-0.56517i,0.0718-0.58084i,0.19321-0.56317i,0.30196-0.52176i,0.3989-0.46095i,0.48341-0.38061i,0.55101-0.27959i,0.59385-0.15903i,0.60263-0.024417i,0.56885+0.11362i,0.48731+0.23904i,0.35933+0.33096i,0.19668+0.36627i,0.024448+0.32557i,-0.12005+0.20168i,-0.19425+0.0076304i,-0.16266-0.22016i,-0.010437-0.42696i,0.24741-0.55288i,0.56589-0.54998i,0.87979-0.39712i,1.1202-0.10696i,1.2315+0.27696i,1.1846+0.69113i,0.98112+1.0668i,0.65182+1.3443i,0.24875+1.4833i,-0.16516+1.47i,-0.5282+1.3188i,-0.79238+1.0693i,-0.93417+0.77783i,-0.96018+0.50279i,-0.71447+0.048338i,-0.72585+0.00032824i,-0.75197-0.086401i,-0.75573-0.21488i,-0.70791-0.36306i,-0.60055-0.49546i,-0.44945-0.57977i,-0.28566-0.60019i,-0.1417-0.56148i,-0.039937-0.48366i,0.011984-0.3921i,0.018605-0.30908i,-0.008855-0.25037i,-0.056342-0.22613i,-0.10735-0.24224i,-0.14193-0.29879i,-0.13842-0.3859i,-0.079943-0.48071i,0.036068-0.55014i,0.19119-0.56129i,0.34781-0.49582i,0.46128-0.36122i,0.49803-0.19168i,0.45111-0.036379i,0.34482+0.060403i,0.22528+0.078015i,0.14103+0.027939i,0.12272-0.052021i,0.17145-0.11478i,0.26043-0.12382i,0.34815-0.066851i,0.39598+0.042007i,0.3821+0.17062i,0.30684+0.28264i,0.18907+0.35011i,0.057212+0.36053i,-0.060557+0.31759i,-0.14371+0.23712i,-0.18315+0.14101i,-0.18171+0.050868i,-0.15196-0.017621i,-0.11165-0.058674i,-0.077372-0.077721i,-0.058082-0.088857i,-0.05093-0.10847i,-0.041877-0.14703i,-0.011672-0.20265i,0.0549-0.2597i,0.16065-0.29387i,0.29254-0.28158i,0.42493-0.20954i,0.52784-0.080263i,0.57647+0.088671i,0.55778+0.27023i,0.47251+0.43535i,0.3332+0.55912i,0.16062+0.62431i,-0.019755+0.62312i,-0.18106+0.5583i,-0.29918+0.44386i,-0.35814+0.30391i,-0.35541+0.16805i,-0.30413+0.063029i,-0.22927+0.0036252i,-0.15812-0.012701i,-0.10857-0.0035317i,-0.081396+0.0085161i,-0.061331+0.0090366i,-0.027347+0.001219i,0.032836+0.0056777i,0.11175+0.049988i,0.1811+0.15295i,0.20163+0.3117i,0.13932+0.49838i,-0.02025+0.66775i,-0.2656+0.77166i,-0.56295+0.77311i,-0.86604+0.65433i,-1.1264+0.41778i,-1.2999+0.083116i,-1.3507-0.31564i,-1.254-0.73105i,-1.0027-1.1036i,-0.61585-1.3679i,-0.14456-1.4665i,0.33164-1.3683i,0.72084-1.085i,0.94445-0.6754i,0.9629-0.23264i,0.79003+0.14214i,0.48894+0.37098i,0.15035+0.42167i,-0.13776+0.31313i,-0.31624+0.10221i,-0.36711-0.14069i,-0.30902-0.35607i,-0.18091-0.51013i,-0.022923-0.59617i,0.13688-0.62546i,0.28635-0.61445i,0.42481-0.57476i,0.55504-0.50948i,0.6764-0.41531i,0.78163-0.2877i,0.85763-0.12616i,0.88895+0.062171i,0.86252+0.26137i,0.77273+0.44826i,0.62539+0.5965i,0.43941+0.68302i,0.24448+0.69521i,0.074625+0.63636i,-0.041104+0.52666i
0.86596+0.31455i,0.8271+0.50716i,0.72624+0.6961i,0.56742+0.85376i,0.36775+0.95893i,0.15092+1.0018i,-0.059716+0.98418i,-0.24588+0.91598i,-0.39586+0.81148i,-0.50417+0.68632i,-0.57085+0.55595i,-0.60125+0.43424i,-0.60568+0.33143i,-0.59749+0.25176i,-0.58951+0.19232i,-0.58996+0.1445i,-0.60013+0.098225i,-0.6157+0.046635i,-0.6311-0.011455i,-0.64438-0.073378i,-0.65888-0.13781i,-0.68001-0.20996i,-0.70815-0.30257i,-0.73207-0.43073i,-0.72762-0.60211i,-0.66423-0.80764i,-0.51715-1.0183i,-0.28019-1.1911i,0.027785-1.2822i,0.3661-1.2624i,0.68422-1.1272i,0.93718-0.89676i,1.0975-0.60841i,1.1591-0.30299i,1.133-0.013885i,1.0382+0.23805i,0.89379+0.44291i,0.71466+0.59628i,0.51325+0.69457i,0.30311+0.73391i,0.10142+0.71298i,-0.072115+0.63723i,-0.19993+0.52122i,-0.27229+0.38707i,-0.29102+0.25912i,-0.26926+0.15722i,-0.22715+0.091328i,-0.18532+0.059607i,-0.1586+0.050624i,-0.15224+0.048443i,-0.16167+0.038741i,-0.17569+0.01379i,-0.18176-0.02534i,-0.17151-0.070073i,-0.14443-0.1087i,-0.10813-0.13222i,-0.074671-0.13925i,-0.054351-0.13754i,-0.049547-0.14105i,-0.051699-0.16317i,-0.043447-0.20919i,-0.0055525-0.27148i,0.074217-0.33019i,0.19432-0.35965i,0.33808-0.33781i,0.47846-0.25458i,0.58677-0.11545i,0.64139+0.060892i,0.63285+0.24904i,0.56404+0.42431i,0.44655+0.5678i,0.29611+0.66801i,0.12923+0.72002i,-0.038346+0.72406i,-0.19224+0.68496i,-0.3208+0.61223i,-0.41732+0.51912i,-0.48211+0.41985i,-0.52225+0.32521i,-0.54818+0.23891i,-0.56806+0.15709i,-0.58317+0.072114i,-0.5871-0.021144i,-0.57006-0.11997i,-0.52598-0.21321i,-0.45838-0.28623i,-0.38086-0.32906i,-0.31139-0.34295i,-0.26317-0.34096i,-0.23729-0.34177i,-0.22172-0.35973i,-0.19772-0.39677i,-0.15027-0.44088i,-0.076777-0.47238i,0.010852-0.47451i,0.092049-0.44255i,0.14798-0.38649i,0.17077-0.32582i,0.16666-0.27986i,0.15172-0.25871i,0.1431-0.25995i,0.15081-0.27197i,0.17441-0.28163i,0.20587-0.28142i,0.23607-0.27228i,0.26095-0.2611i,0.28379-0.25496i,0.31281-0.25583i,0.35606-0.25867i,0.41673-0.25349i,0.49124-0.22983i,0.57088-0.18092i,0.64533-0.10545i,0.70605-0.0066165i,0.74783+0.11046i,0.76808+0.24127i,0.76489+0.38296i,0.73497+0.53358i,0.67285+0.69003i,0.57165+0.84576i,0.42552+0.98916i,-0.51071+1.0955i,-0.73442+0.94624i,-0.89912+0.7395i,-0.98705+0.50393i,-0.99609+0.27376i,-0.9408+0.079747i,-0.84808-0.059072i,-0.74905-0.13971i,-0.67025-0.17425i,-0.62738-0.18456i,-0.62326-0.19527i,-0.64954-0.22781i,-0.69013-0.29699i,-0.72458-0.40963i,-0.73074-0.56399i,-0.68731-0.74907i,-0.57762-0.94434i,-0.39441-1.1213i,-0.14416-1.2485i,0.15178-1.299i,0.46119-1.2583i,0.74919-1.1285i,0.98779-0.92656i,1.162-0.67687i,1.2698-0.40238i,1.3161-0.11813i,1.3051+0.16869i,1.2347+0.45317i,1.0981+0.72512i,0.89033+0.96493i,0.61671+1.1459i,0.29743+1.2425i,-0.034738+1.24i,-0.34288+1.1409i,-0.59622+0.96342i,-0.77705+0.73509i,-0.88131+0.48351i,-0.91375+0.23035i,-0.8815-0.0092145i,-0.79056-0.22271i,-0.64716-0.39605i,-0.46247-0.51275i,-0.25671-0.55799i,-0.058837-0.52566i,0.099315-0.42418i,0.19204-0.27718i,0.20772-0.11827i,0.15199+0.018192i,0.0448+0.1059i,-0.086565+0.13163i,-0.21498+0.095163i,-0.3185+0.005611i,-0.38173-0.12299i,-0.39496-0.27458i,-0.35297-0.43186i,-0.25522-0.57622i,-0.10724-0.68843i,0.078113-0.75113i,0.28113-0.75257i,0.47815-0.68993i,0.6463-0.57068i,0.76837-0.41115i,0.83629-0.23276i,0.85222-0.057027i,0.82709+0.099111i,0.77721+0.22669i,0.71969+0.32615i,0.6677+0.40638i,0.62661+0.48153i,0.59223+0.56604i,0.55199+0.66928i,0.48901+0.79155i,0.38784+0.92299i,0.23977+1.046i,0.045777+1.14i,-0.18391+1.1869i,-0.43283+1.1747i,-0.68203+1.0983i,-0.9126+0.95856i,-1.1067+0.76147i,-1.2477+0.51788i,-1.3217+0.24449i,-1.3203-0.035878i,-1.2453-0.2967i,-1.1104-0.51336i,-0.93965-0.67036i,-0.76115-0.76639i,-0.5975-0.81428i,-0.45864-0.83482i,-0.34011-0.84695i,-0.22834-0.85926i,-0.1102-0.86723i,0.018162-0.85759i,0.14796-0.8176i,0.2617-0.74398i,0.34207-0.64656i,0.38086-0.54507i,0.38321-0.4608i,0.36524-0.40808i,0.34722-0.38972i,0.34621-0.39811i,0.37194-0.42005i,0.42721-0.4419i,0.51064-0.45183i,0.61897-0.43911i,0.74651-0.39233i,0.88245-0.29963i,1.0086-0.15222i,1.1007+0.050136i,1.1335+0.29493i,1.0892+0.55717i,0.96353+0.80496i,0.76772+1.0081i
-0.9262-0.70012i,-0.69488-0.87832i,-0.43429-0.97776i,-0.17435-0.9978i,0.059992-0.95082i,0.25461-0.85635i,0.4066-0.73313i,0.51948-0.59367i,0.59679-0.44399i,0.63823-0.28786i,0.64066-0.13181i,0.6026+0.012671i,0.52885+0.1315i,0.43178+0.21323i,0.32841+0.25373i,0.2351+0.25751i,0.16311+0.23532i,0.11707+0.19993i,0.096335+0.163i,0.097025+0.13404i,0.1128+0.12092i,0.13416+0.12945i,0.14813+0.16105i,0.14057+0.20949i,0.10163+0.2596i,0.032067+0.29056i,-0.053579+0.28391i,-0.13024+0.23281i,-0.17168+0.14746i,-0.16197+0.053127i,-0.10326-0.019347i,-0.01555-0.045938i,0.07138-0.018721i,0.12975+0.052346i,0.1432+0.14528i,0.10981+0.23559i,0.038681+0.30415i,-0.056398+0.33998i,-0.16168+0.33853i,-0.26441+0.2985i,-0.3512+0.221i,-0.40711+0.1117i,-0.41822-0.016064i,-0.37725-0.14107i,-0.28894-0.23883i,-0.17115-0.28984i,-0.04968-0.28716i,0.051002-0.23881i,0.11639-0.16331i,0.14524-0.08089i,0.14611-0.0052004i,0.12978+0.059813i,0.10242+0.1169i,0.063613+0.16914i,0.0096692+0.21495i,-0.060887+0.24765i,-0.14388+0.25945i,-0.23063+0.24638i,-0.31244+0.21027i,-0.38496+0.15632i,-0.44857+0.088054i,-0.50444+0.003996i,-0.54899-0.10105i,-0.5713-0.2302i,-0.55608-0.37796i,-0.49145-0.52777i,-0.37675-0.65619i,-0.22552-0.74193i,-0.061187-0.77495i,0.092389-0.76011i,0.22032-0.71355i,0.32085-0.65382i,0.4024-0.59314i,0.47601-0.53358i,0.54805-0.46957i,0.6174-0.39412i,0.67794-0.30432i,0.72374-0.20269i,0.75259-0.094302i,0.76581+0.017443i,0.76466+0.13266i,0.74691+0.25306i,0.70639+0.37767i,0.63648+0.49967i,0.53505+0.60715i,0.40751+0.68748i,0.26545+0.7327i,0.12186+0.74219i,-0.013928+0.72087i,-0.138+0.67438i,-0.24915+0.60498i,-0.34392+0.51126i,-0.41326+0.3924i,-0.44386+0.25406i,-0.42422+0.11162i,-0.35191-0.011907i,-0.23781-0.093073i,-0.10441-0.11644i,0.020996-0.079979i,0.11468+0.005229i,0.16218+0.11999i,0.15943+0.24353i,0.11004+0.35807i,0.021837+0.45011i,-0.095166+0.50959i,-0.22879+0.52945i,-0.36457+0.50673i,-0.48737+0.44458i,-0.58519+0.35278i,-0.65303+0.24496i,-0.6941+0.1332i,-0.71637+0.022835i,-0.72613-0.088835i,-0.72216-0.20846i,-0.69464-0.33914i,-0.63014-0.47392i,-0.52039-0.59477i,-0.36964-0.67816i,-0.19641-0.7046i,-0.028321-0.6669i,0.10698-0.57299i,0.083235-0.060971i,-0.050577-0.0039957i,-0.21134-0.011586i,-0.37411-0.097964i,-0.50422-0.26741i,-0.56268-0.50662i,-0.51743-0.78171i,-0.35567-1.0436i,-0.090869-1.2409i,0.23976-1.3353i,0.58684-1.3125i,0.90386-1.1827i,1.1589-0.97344i,1.3385-0.71737i,1.4434-0.44277i,1.4815-0.16983i,1.4621+0.087483i,1.3953+0.31798i,1.2938+0.51238i,1.1741+0.66605i,1.0543+0.78302i,0.94776+0.8771i,0.85653+0.96756i,0.76956+1.0707i,0.66721+1.1916i,0.53051+1.321i,0.35019+1.4392i,0.13031+1.5254i,-0.11506+1.5655i,-0.36958+1.5559i,-0.62164+1.5002i,-0.86618+1.4019i,-1.1006+1.2601i,-1.3181+1.0688i,-1.5033+0.82283i,-1.6337+0.52591i,-1.6868+0.19502i,-1.6494-0.14078i,-1.5234-0.44735i,-1.3262-0.69485i,-1.0862-0.86487i,-0.83479-0.95314i,-0.59987-0.96776i,-0.40213-0.92531i,-0.25361-0.84688i,-0.15758-0.75486i,-0.10875-0.67008i,-0.09432-0.60855i,-0.09663-0.57829i,-0.097847-0.57787i,-0.08509-0.59798i,-0.053583-0.62614i,-0.005909-0.65231i,0.052348-0.67235i,0.11787-0.68713i,0.19229-0.69806i,0.28024-0.70219i,0.38407-0.69048i,0.4987-0.65123i,0.61062-0.5766i,0.70236-0.4683i,0.76003-0.33848i,0.77951-0.20481i,0.76726-0.082603i,0.73546+0.02106i,0.69464+0.10782i,0.6488+0.18308i,0.59621+0.24946i,0.53496+0.30364i,0.46893+0.33909i,0.40918+0.35305i,0.36895+0.35256i,0.3547+0.35469i,0.35923+0.37951i,0.36166+0.43918i,0.33564+0.52959i,0.2615+0.62977i,0.13597+0.70983i,-0.026073+0.74331i,-0.19821+0.71707i,-0.35326+0.63409i,-0.47206+0.50873i,-0.54598+0.35863i,-0.57355+0.19881i,-0.5554+0.040996i,-0.49214-0.10297i,-0.38703-0.21827i,-0.25086-0.28857i,-0.10424-0.30246i,0.026337-0.26098i,0.11815-0.18058i,0.16238-0.088111i,0.16856-0.0092326i,0.1595+0.043893i,0.15871+0.078402i,0.17675+0.11627i,0.20409+0.18143i,0.21454+0.28529i,0.1777+0.41806i,0.073852+0.55061i,-0.095984+0.64523i,-0.30931+0.66994i,-0.53003+0.60933i,-0.72025+0.46803i,-0.85049+0.26685i,-0.90485+0.03507i,-0.8809-0.19701i,-0.78686-0.40286i,-0.63833-0.56187i,-0.45587-0.66033i,-0.26302-0.69227i,-0.083721-0.66028i,0.060822-0.57542i
-0.47511-1.3889i,-0.13794-1.4446i,0.19361-1.4073i,0.49294-1.2871i,0.73998-1.1007i,0.92132-0.86756i,1.0291-0.60909i,1.0607-0.34818i,1.0204-0.10936i,0.92243+0.083713i,0.79147+0.21381i,0.65978+0.27707i,0.55841+0.28711i,0.5065+0.27264i,0.50362+0.26798i,0.52993+0.29991i,0.55511+0.37741i,0.55205+0.48986i,0.50805+0.6149i,0.42735+0.73162i,0.32361+0.83131i,0.20704+0.91921i,0.074439+1.006i,-0.091113+1.094i,-0.30968+1.1674i,-0.58871+1.1921i,-0.91125+1.1289i,-1.2356+0.95087i,-1.5078+0.65793i,-1.6804+0.2797i,-1.7291-0.13488i,-1.6577-0.53542i,-1.4913-0.88608i,-1.2613-1.1722i,-0.99164-1.3954i,-0.69284-1.5622i,-0.36643-1.6723i,-0.015024-1.7154i,0.34828-1.6757i,0.69713-1.5422i,0.99704-1.3179i,1.2155-1.0235i,1.3323-0.69428i,1.3448-0.37089i,1.2686-0.090352i,1.1323+0.1217i,0.97124+0.25492i,0.82019+0.31492i,0.70671+0.32131i,0.64587+0.30332i,0.6368+0.29322i,0.66265+0.31817i,0.69499+0.3924i,0.70219+0.51273i,0.65938+0.65938i,0.55628+0.80245i,0.40003+0.91156i,0.21189+0.96512i,0.019814+0.95558i,-0.14979+0.88953i,-0.27817+0.78374i,-0.3567+0.65955i,-0.38637+0.53798i,-0.37575+0.43645i,-0.33861+0.36684i,-0.29135+0.3343i,-0.25012+0.33693i,-0.22771+0.36681i,-0.23134+0.41283i,-0.26271+0.46435i,-0.32069+0.51386i,-0.40508+0.55649i,-0.51858+0.58641i,-0.6647+0.59228i,-0.84158+0.55565i,-1.0352+0.4552i,-1.2168+0.27622i,-1.3482+0.020931i,-1.3943-0.28647i,-1.3365-0.60444i,-1.1811-0.88743i,-0.95671-1.1019i,-0.70139-1.2368i,-0.44625-1.3025i,-0.20477-1.319i,0.026601-1.3008i,0.25684-1.2464i,0.48502-1.1408i,0.69109-0.96789i,0.83909-0.72738i,0.89217-0.44486i,0.83141-0.1686i,0.66836+0.046219i,0.444+0.15794i,0.2147+0.15352i,0.032253+0.050752i,-0.071906-0.1122i,-0.091424-0.29366i,-0.038185-0.46247i,0.070387-0.60276i,0.2218-0.70895i,0.41115-0.77615i,0.63561-0.79285i,0.88541-0.74088i,1.1376-0.60257i,1.3567-0.37112i,1.5026-0.058412i,1.5424+0.3038i,1.4601+0.66966i,1.2625+0.98977i,0.97746+1.2225i,0.64814+1.3428i,0.3233+1.347i,0.047221+1.2528i,-0.14908+1.0941i,-0.25368+0.91364i,-0.27505+0.75263i,-0.23824+0.64157i,-0.17695+0.59428i,-0.12382+0.60723i,-0.10266+0.6641i,-0.43652+0.94422i,-0.60456+0.9649i,-0.79705+0.94845i,-1.0068+0.88423i,-1.2212+0.76175i,-1.4218+0.57421i,-1.5861+0.32168i,-1.6904+0.012779i,-1.7134-0.33491i,-1.6391-0.69502i,-1.4605-1.0334i,-1.1848-1.311i,-0.83701-1.4908i,-0.46029-1.5473i,-0.10919-1.4779i,0.16417-1.3083i,0.32691-1.0892i,0.37799-0.88159i,0.34968-0.73623i,0.29552-0.67584i,0.26923-0.68815i,0.30385-0.734i,0.40133-0.76655i,0.53688-0.75195i,0.67525-0.68096i,0.78918-0.5665i,0.86981-0.42987i,0.92385-0.2849i,0.96044-0.13025i,0.977+0.04554i,0.95396+0.24937i,0.86274+0.46906i,0.6832+0.66879i,0.42069+0.7988i,0.11231+0.81543i,-0.18203+0.70126i,-0.39994+0.47492i,-0.49866+0.18557i,-0.46825-0.10487i,-0.33062-0.34286i,-0.12654-0.49777i,0.10176-0.56449i,0.32352-0.55528i,0.52317-0.48741i,0.69524-0.37364i,0.83598-0.21995i,0.93731-0.02994i,0.98677+0.18846i,0.9728+0.4187i,0.89182+0.63668i,0.75299+0.8168i,0.57801+0.94003i,0.39593+1.0005i,0.23486+1.0082i,0.11347+0.98616i,0.034986+0.9641i,-0.014498+0.96894i,-0.062489+1.0158i,-0.142+1.1019i,-0.28089+1.2055i,-0.49195+1.2911i,-0.76729+1.3196i,-1.0792+1.26i,-1.3879+1.0989i,-1.6522+0.84346i,-1.8409+0.51834i,-1.9384+0.15694i,-1.9456-0.20786i,-1.8753-0.55087i,-1.7457-0.85756i,-1.575-1.1235i,-1.3767-1.3518i,-1.1581-1.5494i,-0.91819-1.7235i,-0.64927-1.8766i,-0.33964-2.0016i,0.019049-2.0792i,0.42256-2.0796i,0.84677-1.9722i,1.2473-1.7391i,1.5689-1.388i,1.7633-0.95741i,1.8075-0.50833i,1.7137-0.10589i,1.5258+0.20298i,1.3012+0.40421i,1.0881+0.51627i,0.90878+0.57494i,0.75739+0.61136i,0.61387+0.63547i,0.4647+0.63407i,0.31864+0.58461i,0.20773+0.47643i,0.17217+0.32697i,0.23719+0.18271i,0.39477+0.10343i,0.60046+0.13748i,0.78741+0.30074i,0.89053+0.56974i,0.86863+0.89152i,0.71443+1.2042i,0.44942+1.4568i,0.10905+1.6199i,-0.27227+1.6829i,-0.66823+1.6445i,-1.0576+1.503i,-1.4161+1.2548i,-1.71+0.90074i,-1.8984+0.45689i,-1.9445-0.038687i,-1.8295-0.52841i,-1.5643-0.94746i,-1.1905-1.2414i
1.0878+0.35893i,1.1242+0.60228i,1.0693+0.85989i,0.93035+1.0928i,0.72847+1.2741i,0.48887+1.3902i,0.23573+1.4366i,-0.007885+1.4151i,-0.21879+1.3343i,-0.3759+1.213i,-0.46769+1.0818i,-0.50119+0.97688i,-0.50529+0.9268i,-0.5233+0.93793i,-0.59578+0.9879i,-0.74181+1.0326i,-0.94915+1.0246i,-1.1797+0.93456i,-1.3878+0.7625i,-1.5411+0.53384i,-1.6321+0.28236i,-1.6739+0.030892i,-1.6845-0.21812i,-1.6686-0.4769i,-1.6122-0.75566i,-1.4898-1.0465i,-1.2837-1.3192i,-0.99949-1.5323i,-0.66954-1.6525i,-0.34082-1.6724i,-0.054362-1.6128i,0.17162-1.5119i,0.34555-1.4055i,0.49226-1.311i,0.63605-1.2247i,0.78784-1.1295i,0.94298-1.0093i,1.0889-0.85717i,1.2147-0.6755i,1.3161-0.46836i,1.3906-0.23484i,1.4292+0.030345i,1.4121+0.32818i,1.3128+0.64433i,1.1117+0.94443i,0.81046+1.1808i,0.43882+1.3088i,0.048451+1.3043i,-0.30344+1.1732i,-0.57255+0.94859i,-0.73893+0.67674i,-0.80717+0.40116i,-0.79734+0.15161i,-0.73345-0.057961i,-0.63563-0.22475i,-0.51826-0.35091i,-0.39175-0.44011i,-0.2642-0.49728i,-0.14067-0.52903i,-0.021556-0.54196i,0.096979-0.53872i,0.21864-0.51498i,0.34043-0.46088i,0.44854-0.36812i,0.52101-0.23918i,0.5373-0.092768i,0.49035+0.039114i,0.3942+0.12248i,0.28207+0.13565i,0.19533+0.079054i,0.16897-0.02427i,0.22071-0.13699i,0.34798-0.21935i,0.53193-0.23838i,0.74365-0.17169i,0.94817-0.0076204i,1.1057+0.25392i,1.1734+0.59734i,1.1125+0.98627i,0.90093+1.3633i,0.54737+1.6598i,0.096846+1.8153i,-0.37752+1.7997i,-0.79667+1.6257i,-1.1026+1.3457i,-1.277+1.0303i,-1.343+0.74117i,-1.3478+0.50937i,-1.338+0.33071i,-1.3391+0.17824i,-1.3504+0.023089i,-1.3544-0.14907i,-1.3332-0.33431i,-1.2802-0.51919i,-1.2007-0.69354i,-1.1021-0.85735i,-0.98378-1.017i,-0.83447-1.174i,-0.64008-1.3159i,-0.39731-1.4166i,-0.123-1.4482i,0.14802-1.3963i,0.37647-1.2705i,0.53595-1.1023i,0.6238-0.93079i,0.65929-0.78598i,0.67106-0.67814i,0.68206-0.59942i,0.70121-0.53463i,0.72571-0.47314i,0.75061-0.41386i,0.77759-0.36075i,0.81603-0.31325i,0.87556-0.25983i,0.95545-0.17997i,1.0388-0.054554i,1.0965+0.1221i,1.0988+0.33595i,1.0284+0.557i,0.88765+0.75065i,0.69598+0.89007i,-0.075459+0.83399i,-0.18282+0.71645i,-0.23683+0.58993i,-0.2381+0.47783i,-0.19968+0.40402i,-0.14805+0.38404i,-0.11669+0.41618i,-0.13384+0.47869i,-0.21021+0.5362i,-0.33373+0.55321i,-0.47421+0.50793i,-0.59556+0.39961i,-0.66891+0.24639i,-0.68031+0.076379i,-0.63086-0.082223i,-0.53208-0.20691i,-0.40127-0.28184i,-0.26017-0.29721i,-0.13524-0.25096i,-0.055807-0.15353i,-0.04648-0.031895i,-0.11562+0.072635i,-0.24594+0.11597i,-0.39471+0.068762i,-0.50674-0.068614i,-0.53562-0.26271i,-0.46313-0.45893i,-0.30617-0.60377i,-0.10735-0.6661i,0.085738-0.64645i,0.24112-0.5701i,0.35185-0.46903i,0.43036-0.36394i,0.49299-0.25676i,0.54535-0.13648i,0.57757+0.0070586i,0.57133+0.17146i,0.51258+0.33982i,0.4007+0.48881i,0.24806+0.60021i,0.071262+0.66729i,-0.11853+0.69171i,-0.31847+0.67406i,-0.52736+0.60593i,-0.73423+0.47103i,-0.91122+0.25619i,-1.0174-0.034043i,-1.0135-0.36881i,-0.88011-0.69524i,-0.62901-0.95448i,-0.30092-1.1015i,0.048394-1.1187i,0.36628-1.0164i,0.61595-0.82391i,0.7791-0.57582i,0.85047-0.30371i,0.83107-0.035133i,0.7261+0.20279i,0.54871+0.38151i,0.32494+0.4754i,0.093624+0.47109i,-0.1018+0.3758i,-0.22682+0.2182i,-0.26733+0.039409i,-0.23246-0.12168i,-0.14698-0.24098i,-0.038077-0.31308i,0.075734-0.34534i,0.18753-0.34725i,0.29662-0.32255i,0.40017-0.26883i,0.48866-0.18378i,0.54851-0.072394i,0.56991+0.051041i,0.55353+0.16803i,0.51106+0.2648i,0.45862+0.33882i,0.40747+0.39823i,0.35833+0.45459i,0.30287+0.51409i,0.23119+0.57317i,0.13952+0.62111i,0.032882+0.64731i,-0.078635+0.6473i,-0.18649+0.62333i,-0.28742+0.5793i,-0.38103+0.51515i,-0.46307+0.42611i,-0.52049+0.30889i,-0.53383+0.17113i,-0.48774+0.036544i,-0.38406-0.059759i,-0.24863-0.08574i,-0.12588-0.029339i,-0.062076+0.091992i,-0.085568+0.23558i,-0.19464+0.35019i,-0.35944+0.39646i,-0.53648+0.36021i,-0.68704+0.25264i,-0.78928+0.099078i,-0.83899-0.075356i,-0.84113-0.25436i,-0.8002-0.42949i,-0.71652-0.59299i,-0.59073-0.73197i,-0.43135-0.82979i,-0.2584-0.87446i,-0.098037-0.86802i,0.029387-0.82917i,0.12064-0.78556i,0.19217-0.75931i,0.27133-0.75427i
