0.071678-0.28685i,0.13432-0.38253i,0.22573-0.47112i,0.31078-0.57069i,0.36271-0.66974i,0.37629-0.76937i,0.37665-0.86267i,0.37071-0.94955i,0.36054-1.0534i,0.35502-1.1692i,0.32437-1.2996i,0.27511-1.3986i,0.21421-1.4658i,0.15529-1.4868i,0.10566-1.4644i,0.065475-1.4037i,0.034185-1.3066i,0.016967-1.1671i,0.026969-1.0065i,0.086408-0.83761i,0.18792-0.67329i,0.32071-0.53924i,0.48587-0.42941i,0.6534-0.35365i,0.82503-0.27877i,0.99995-0.22138i,1.1754-0.17987i,1.3404-0.16194i,1.5777-0.19973i,1.6288-0.23426i,1.634-0.27949i,1.6051-0.32288i,1.5323-0.34693i,1.4194-0.34534i,1.2946-0.28841i,1.1643-0.18444i,1.0574-0.014705i,0.99775+0.17522i,0.97349+0.37159i,0.97249+0.54365i,0.97483+0.67985i,0.96751+0.78044i,0.9501+0.84329i,0.92213+0.88478i,0.8741+0.90206i,0.81268+0.89737i,0.73378+0.8981i,0.6282+0.91093i,0.52338+0.96599i,0.42977+1.0309i,0.3366+1.1082i,0.24089+1.1658i,0.12226+1.2093i,-0.017151+1.2521i,-0.14844+1.3097i,-0.23157+1.3529i
0.68801-1.2838i,0.5964-1.0346i,0.55194-0.73224i,0.55513-0.45978i,0.55912-0.26461i,0.55678-0.13599i,0.53569-0.025362i,0.50791+0.071862i,0.51386+0.15854i,0.53218+0.24793i,0.5759+0.31017i,0.57572+0.36169i,0.55618+0.43104i,0.51825+0.53039i,0.4838+0.65075i,0.46554+0.76566i,0.45971+0.84936i,0.44364+0.88708i,0.43587+0.89036i,0.43001+0.88304i,0.42329+0.84412i,0.42961+0.77118i,0.40697+0.68635i,0.37255+0.58011i,0.2734+0.47206i,0.15056+0.38786i,0.010207+0.32606i,-0.13417+0.27276i,-0.44093+0.13957i,-0.62457+0.061869i,-0.79873+0.0049166i,-0.95574-0.0093437i,-1.0873-0.0094497i,-1.1751-0.0040699i,-1.2572+0.019641i,-1.3037+0.045002i,-1.3579+0.068191i,-1.3764+0.1051i,-1.3773+0.10978i,-1.36+0.071436i,-1.3417-0.0139i,-1.336-0.12891i,-1.3306-0.23864i,-1.3313-0.33373i,-1.3095-0.42525i,-1.2623-0.50178i,-1.2288-0.57645i,-1.2051-0.65843i,-1.2394-0.71453i,-1.2701-0.72489i,-1.299-0.73113i,-1.2876-0.73921i,-1.251-0.7869i,-1.2088-0.87059i,-1.1747-0.95583i,-1.0894-0.99909i
0.79885+0.62895i,0.74643+0.54756i,0.65664+0.4555i,0.53646+0.38184i,0.40608+0.33819i,0.27738+0.33501i,0.15525+0.35853i,0.0539+0.3967i,-0.025975+0.44721i,-0.088065+0.48683i,-0.12452+0.51898i,-0.13627+0.51022i,-0.1442+0.46436i,-0.16555+0.37981i,-0.21589+0.27345i,-0.29911+0.17i,-0.4058+0.092017i,-0.51469+0.048275i,-0.61242+0.048734i,-0.68839+0.078561i,-0.72297+0.1233i,-0.71504+0.17409i,-0.67205+0.20186i,-0.59719+0.21069i,-0.49761+0.17411i,-0.39774+0.10458i,-0.30974+0.0067973i,-0.24201-0.10423i,-0.16477-0.31042i,-0.14203-0.39337i,-0.12969-0.45103i,-0.12686-0.4872i,-0.11601-0.49972i,-0.0891-0.48391i,-0.039907-0.46179i,0.039441-0.42913i,0.15264-0.41765i,0.27305-0.42594i,0.39695-0.46111i,0.50337-0.51389i,0.57966-0.57206i,0.6183-0.62108i,0.6141-0.64238i,0.58093-0.62895i,0.53938-0.56296i,0.50431-0.4439i,0.50687-0.29089i,0.56833-0.1154i,0.68837+0.034108i,0.84052+0.15179i,1.0131+0.22094i,1.1668+0.25484i,1.2908+0.26629i,1.3771+0.26747i,1.423+0.26088i,1.4188+0.26251i
-0.33209+0.37734i,-0.26785+0.3294i,-0.24624+0.23102i,-0.26994+0.1333i,-0.3139+0.064519i,-0.35491+0.038869i,-0.38619+0.037523i,-0.40257+0.041722i,-0.41436+0.050045i,-0.43474+0.050337i,-0.45458+0.053621i,-0.47317+0.034651i,-0.50259+0.00015718i,-0.55558-0.049153i,-0.64125-0.093449i,-0.75409-0.10631i,-0.87364-0.068568i,-0.97176+0.018363i,-1.0332+0.15076i,-1.0569+0.30462i,-1.0363+0.46108i,-0.97761+0.61612i,-0.89042+0.74941i,-0.7704+0.86602i,-0.6213+0.93758i,-0.462+0.97086i,-0.30569+0.9661i,-0.16153+0.93636i,0.097504+0.84932i,0.22533+0.79237i,0.34687+0.72748i,0.45075+0.64701i,0.54087+0.5523i,0.61592+0.45351i,0.67363+0.33885i,0.71996+0.22047i,0.75366+0.080002i,0.75424-0.063533i,0.72823-0.20133i,0.67738-0.31268i,0.61549-0.38792i,0.55564-0.43051i,0.4988-0.44904i,0.44515-0.4615i,0.39226-0.46459i,0.33234-0.45396i,0.27839-0.43586i,0.24707-0.40603i,0.23742-0.39282i,0.23521-0.385i,0.24207-0.38486i,0.2457-0.36931i,0.26149-0.33214i,0.30051-0.28449i,0.35684-0.25723i,0.39568-0.26171i
-0.57896-0.18168i,-0.52752-0.30964i,-0.51957-0.45083i,-0.53814-0.56172i,-0.55157-0.6297i,-0.54607-0.65212i,-0.52621-0.65347i,-0.49146-0.64859i,-0.45563-0.63487i,-0.42892-0.62873i,-0.40411-0.61679i,-0.37616-0.6276i,-0.35998-0.65154i,-0.36153-0.68645i,-0.38178-0.71533i,-0.40946-0.72137i,-0.42616-0.69917i,-0.41377-0.66195i,-0.3777-0.61721i,-0.33354-0.58613i,-0.28527-0.57383i,-0.24621-0.56953i,-0.22373-0.58256i,-0.2102-0.59069i,-0.19386-0.6134i,-0.18166-0.63728i,-0.16849-0.66464i,-0.15055-0.69324i,-0.090301-0.7684i,-0.056306-0.834i,-0.047297-0.91299i,-0.082216-1.0012i,-0.15278-1.0788i,-0.25143-1.1224i,-0.36204-1.1404i,-0.46343-1.117i,-0.53398-1.0796i,-0.5844-1.0244i,-0.59683-0.96246i,-0.57481-0.89718i,-0.52027-0.83879i,-0.44341-0.80047i,-0.36799-0.78839i,-0.30616-0.80939i,-0.26785-0.84434i,-0.26198-0.8815i,-0.2716-0.92035i,-0.28132-0.94793i,-0.28708-0.98861i,-0.30395-1.0218i,-0.3177-1.0429i,-0.33666-1.0311i,-0.34102-0.98384i,-0.32242-0.91574i,-0.28921-0.85555i,-0.2767-0.80668i
-0.95856-0.73061i,-1.1097-0.75912i,-1.2009-0.79673i,-1.2645-0.83492i,-1.3003-0.85559i,-1.3277-0.83677i,-1.333-0.80979i,-1.2902-0.78512i,-1.2289-0.77611i,-1.1591-0.82831i,-1.1123-0.89039i,-1.0474-0.97955i,-0.9961-1.0758i,-0.94633-1.1826i,-0.90648-1.2943i,-0.88551-1.3957i,-0.88277-1.467i,-0.87195-1.496i,-0.86258-1.4771i,-0.84138-1.4462i,-0.78788-1.4064i,-0.73119-1.3601i,-0.66992-1.3423i,-0.63008-1.3004i,-0.561-1.2502i,-0.49169-1.1798i,-0.40533-1.0967i,-0.30364-1.0039i,-0.06039-0.79063i,0.098153-0.67878i,0.25645-0.57343i,0.40948-0.5055i,0.56478-0.459i,0.696-0.41961i,0.82072-0.41198i,0.92025-0.39046i,1.048-0.37921i,1.152-0.39067i,1.2549-0.41577i,1.3249-0.45078i,1.3521-0.48015i,1.3395-0.49122i,1.2851-0.48418i,1.2268-0.46907i,1.1619-0.43615i,1.0743-0.40535i,0.99097-0.37486i,0.90985-0.30563i,0.87764-0.2404i,0.84698-0.17701i,0.84608-0.11457i,0.81391-0.05866i,0.75321+0.019535i,0.68103+0.13612i,0.64272+0.27302i,0.63412+0.39448i
0.10866+0.46215i,0.12936+0.39686i,0.14891+0.33353i,0.15055+0.2746i,0.12898+0.23417i,0.09255+0.20847i,0.067726+0.19568i,0.063424+0.18732i,0.082922+0.15723i,0.13032+0.098793i,0.17729+0.00094555i,0.21713-0.10804i,0.24282-0.22602i,0.25607-0.33524i,0.26006-0.4291i,0.25696-0.50614i,0.24791-0.56711i,0.23387-0.60876i,0.21752-0.64384i,0.20844-0.6728i,0.20034-0.69142i,0.19203-0.70498i,0.19715-0.70096i,0.208-0.68585i,0.23735-0.64096i,0.29123-0.58711i,0.36956-0.53226i,0.46239-0.48993i,0.62504-0.46197i,0.66746-0.45887i,0.68081-0.45592i,0.67863-0.43874i,0.66263-0.3958i,0.6429-0.33105i,0.63939-0.23689i,0.64693-0.13184i,0.66941-0.0068301i,0.7075+0.11121i,0.74209+0.22627i,0.76338+0.33264i,0.76389+0.43553i,0.74584+0.54313i,0.7222+0.65614i,0.70562+0.78237i,0.70006+0.9107i,0.71585+1.0283i,0.74808+1.1392i,0.78043+1.2351i,0.81882+1.3324i,0.85929+1.4099i,0.88856+1.4739i,0.90357+1.5029i,0.88715+1.4968i,0.83065+1.4604i,0.73736+1.408i,0.62017+1.3368i
-0.70581+0.046554i,-0.63576+0.031851i,-0.56101-0.031096i,-0.51907-0.10785i,-0.50758-0.15916i,-0.52396-0.16028i,-0.54349-0.12664i,-0.54168-0.066721i,-0.52822+0.0060353i,-0.49737+0.061373i,-0.46212+0.11911i,-0.39159+0.1606i,-0.30797+0.18111i,-0.21392+0.17157i,-0.12602+0.13531i,-0.056551+0.086789i,-0.0055664+0.042418i,0.0446+0.0090275i,0.086086-0.019189i,0.12003-0.069368i,0.14277-0.14065i,0.12559-0.22664i,0.067817-0.33i,-0.044503-0.40644i,-0.1701-0.44834i,-0.31289-0.44412i,-0.44857-0.39363i,-0.56314-0.29993i,-0.67972-0.022188i,-0.66082+0.12435i,-0.61368+0.24524i,-0.55489+0.31494i,-0.49679+0.34745i,-0.46312+0.35936i,-0.44051+0.34927i,-0.43801+0.3479i,-0.41839+0.34852i,-0.40761+0.34133i,-0.39143+0.33639i,-0.38318+0.33588i,-0.38286+0.34602i,-0.38483+0.36651i,-0.39203+0.387i,-0.38954+0.39774i,-0.38876+0.40592i,-0.40103+0.40446i,-0.40728+0.40361i,-0.40604+0.42589i,-0.36427+0.44707i,-0.31326+0.46147i,-0.24233+0.47531i,-0.18699+0.48669i,-0.14175+0.51483i,-0.092061+0.56124i,-0.015436+0.60168i,0.066318+0.60081i
1.1259-1.0066i,1.2021-0.83904i,1.3182-0.62747i,1.4495-0.43868i,1.5501-0.28861i,1.6043-0.18512i,1.6355-0.096566i,1.6524-0.0093291i,1.674+0.049125i,1.7101+0.090031i,1.7174+0.088718i,1.6745+0.11391i,1.5956+0.17079i,1.5025+0.28341i,1.4204+0.43763i,1.3572+0.60303i,1.3031+0.75387i,1.2384+0.88992i,1.1672+0.99504i,1.1068+1.0853i,1.0454+1.1642i,0.98561+1.2139i,0.93402+1.2617i,0.86763+1.2867i,0.78235+1.3422i,0.70254+1.4059i,0.63696+1.4755i,0.58556+1.5293i,0.46779+1.545i,0.37636+1.5328i,0.28449+1.511i,0.22288+1.4943i,0.18309+1.4759i,0.16622+1.4305i,0.17207+1.3817i,0.17808+1.3007i,0.17139+1.2305i,0.17847+1.1408i,0.171+1.0368i,0.14629+0.90431i,0.093234+0.74938i,0.014404+0.59153i,-0.061485+0.44196i,-0.11769+0.32156i,-0.14654+0.20211i,-0.13815+0.06497i,-0.12998-0.077415i,-0.16276-0.23012i,-0.2361-0.32669i,-0.31974-0.38967i,-0.42033-0.40979i,-0.50711-0.43109i,-0.6035-0.46463i,-0.71815-0.49461i,-0.82973-0.47612i,-0.87051-0.41059i
-0.25472-0.79728i,-0.36431-0.88412i,-0.44037-0.9156i,-0.47868-0.92112i,-0.48842-0.9162i,-0.48751-0.92119i,-0.47396-0.93624i,-0.45454-0.95009i,-0.4347-0.97009i,-0.40148-0.99211i,-0.38059-1.016i,-0.35873-1.0112i,-0.33519-0.98261i,-0.2944-0.92305i,-0.22691-0.84215i,-0.13311-0.75497i,-0.022467-0.67317i,0.09417-0.59393i,0.20528-0.52591i,0.32008-0.46355i,0.43512-0.39535i,0.54918-0.33114i,0.67769-0.26921i,0.79794-0.21942i,0.91946-0.16166i,1.0362-0.11253i,1.1494-0.070435i,1.2538-0.041378i,1.3985-0.029252i,1.4247-0.029141i,1.4167-0.032295i,1.3897-0.031878i,1.3399-0.015914i,1.2666+0.009515i,1.1875+0.055276i,1.089+0.11568i,0.99027+0.21349i,0.90262+0.32223i,0.82771+0.44711i,0.76579+0.56803i,0.71022+0.6757i,0.65535+0.76826i,0.60157+0.84224i,0.55587+0.91129i,0.51446+0.97058i,0.4854+1.007i,0.46558+1.0294i,0.43375+1.0351i,0.40675+1.0438i,0.37983+1.034i,0.35075+1.018i,0.31637+0.96804i,0.25908+0.88828i,0.16856+0.79226i,0.054802+0.70774i,-0.060515+0.637i
